iter	Passed	Remaining
431	1436	1888
432	1447	1894
433	1449	1890
434	1461	1898
435	1463	1893
436	1466	1889
437	1479	1898
438	1482	1894
439	1484	1888
440	1494	1893
441	1496	1888
442	1498	1884
443	1510	1891
444	1513	1887
445	1516	1883
446	1542	1907
447	1544	1903
448	1564	1919
449	1579	1930
450	1582	1926
451	1611	1953
452	1613	1948
453	1625	1955
454	1627	1949
455	1632	1946
456	1666	1980
457	1672	1979
458	1674	1973
459	1686	1980
460	1690	1976
461	1705	1986
462	1709	1982
463	1723	1990
464	1725	1985
465	1734	1988
466	1736	1982
467	1739	1977
468	1752	1984
469	1755	1979
470	1762	1979
471	1765	1975
472	1767	1969
473	1772	1967
474	1782	1970
475	1786	1967
476	1788	1961
477	1799	1965
478	1801	1959
479	1804	1955
480	1814	1958
481	1817	1952
482	1829	1957
483	1832	1953
484	1837	1951
485	1847	1954
486	1850	1949
487	1853	1945
488	1866	1950
489	1868	1945
490	1884	1953
491	1929	1992
492	1933	1987
493	1949	1996
494	1959	1999
495	1962	1993
496	1979	2003
497	1983	1999
498	1990	1998
499	1993	1993
500	1997	1989
501	2014	1998
502	2016	1992
503	2025	1993
504	2027	1987
505	2029	1981
506	2031	1975
507	2039	1975
508	2040	1968
509	2042	1962
510	2047	1959
511	2054	1957
512	2056	1952
513	2058	1946
514	2060	1940
515	2061	1934
516	2069	1933
517	2071	1927
518	2074	1922
519	2076	1916
520	2078	1911
521	2087	1911
522	2089	1905
523	2091	1899
524	2093	1894
525	2103	1895
526	2105	1890
527	2107	1884
528	2115	1883
529	2118	1878
530	2122	1874
531	2124	1868
532	2129	1865
533	2133	1861
534	2136	1856
535	2138	1851
536	2146	1850
537	2149	1845
538	2151	1840
539	2153	1834
540	2155	1828
541	2162	1827
542	2166	1823
543	2170	1819
544	2182	1822
545	2184	1816
546	2187	1811
547	2253	1858
548	2279	1872
549	2282	1867
550	2294	1869
551	2295	1863
552	2297	1857
553	2301	1853
554	2305	1848
555	2309	1843
556	2322	1847
557	2324	1841
558	2334	1841
559	2337	1836
560	2340	1831
561	2352	1833
562	2354	1827
563	2373	1834
564	2383	1835
565	2385	1829
566	2387	1823
567	2469	1877
568	2487	1884
569	2496	1883
570	2501	1879
571	2521	1886
572	2530	1885
573	2536	1882
574	2544	1880
575	2546	1874
576	2548	1868
577	2550	1861
578	2566	1866
579	2580	1868
580	2591	1869
581	2595	1864
582	2597	1857
583	2605	1855
584	2608	1850
585	2613	1846
586	2615	1840
587	2685	1881
588	2689	1876
589	2691	1870
590	2699	1868
591	2700	1861
592	2702	1855
593	2705	1849
594	2714	1847
